Old_ID,New_geneID,gene_description,New_geneName
Milk23G0508.1,XNS23G0508.1,1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324],AGPAT1
Milk11G1113.1,XNS11G1113.1,1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325],AGPAT2(1of2)
Milk11G1114.1,XNS11G1114.1,1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325],AGPAT2(2of2)
Milk01G0869.1,XNS01G0869.1,1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326],AGPAT3
Milk09G0599.1,XNS09G0599.1,1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885],AGPAT4
Milk27G0061.1,XNS27G0061.1,1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886],AGPAT5
Milk15G0279.1,XNS15G0279.1,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989],ACCS
Milk15G0280.1,XNS15G0280.1,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like [Source:HGNC Symbol;Acc:HGNC:34391],ACCSL
Milk01G0127.1,XNS01G0127.1,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",GBE1(1of3)
Milk01G0128.1,XNS01G0128.1,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",GBE1(2of3)
Milk01G0129.1,XNS01G0129.1,"1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]",GBE1(3of3)
Milk08G0773.1,XNS08G0773.1,15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154],HPGD
Milk28G0156.1,XNS28G0156.1,2-aminoethanethiol dioxygenase [Source:HGNC Symbol;Acc:HGNC:23506],ADO
Milk01G1014.1,XNS01G1014.1,2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856],HACL1
Milk18G1275.1,XNS18G1275.1,2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585],OGFOD1
Milk17G0292.1,XNS17G0292.1,2-oxoglutarate and iron dependent oxygenase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25823],OGFOD2
Milk19G0331.1,XNS19G0331.1,2-oxoglutarate and iron dependent oxygenase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26174],OGFOD3
Milk01G0723.1,XNS01G0723.1,2-phosphoxylose phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:26303],PXYLP1
Milk14G0063.1,XNS14G0063.1,"2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]",DECR1(1of2)
Milk14G0064.1,XNS14G0064.1,"2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]",DECR1(2of2)
Milk25G0950.1,XNS25G0950.1,"2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]",DECR2
Milk07G0044.1,XNS07G0044.1,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086],OAS1(1of4)
Milk17G0417.1,XNS17G0417.1,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086],OAS1(2of4)
Milk17G0419.1,XNS17G0419.1,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086],OAS1(3of4)
Milk17G0420.1,XNS17G0420.1,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086],OAS1(4of4)
Milk17G0415.1,XNS17G0415.1,2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087],OAS2(1of2)
Milk17G0418.1,XNS17G0418.1,2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087],OAS2(2of2)
Milk17G0416.1,XNS17G0416.1,2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088],OAS3
Milk17G0470.1,XNS17G0470.1,2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090],OASL
Milk23G0633.1,XNS23G0633.1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218],DNPH1(1of2)
Milk23G0634.1,XNS23G0634.1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218],DNPH1(2of2)
Milk19G0569.1,XNS19G0569.1,"2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]",CNP
Milk03G0592.1,XNS03G0592.1,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859],DHCR24(1of2)
Milk08G0356.1,XNS08G0356.1,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859],DHCR24(2of2)
Milk02G0994.1,XNS02G0994.1,3-hydroxy-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:5005],HMGCL
Milk10G1049.1,XNS10G1049.1,3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006],HMGCR
Milk20G0218.1,XNS20G0218.1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007],HMGCS1
Milk03G1082.1,XNS03G1082.1,3-hydroxy-3-methylglutaryl-CoA synthase 2 [Source:HGNC Symbol;Acc:HGNC:5008],HMGCS2
Milk13G0189.1,XNS13G0189.1,3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639],HACD1(1of2)
Milk13G0190.1,XNS13G0190.1,3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639],HACD1(2of2)
Milk01G0321.1,XNS01G0321.1,3-hydroxyacyl-CoA dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:9640],HACD2
Milk10G0974.1,XNS10G0974.1,3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175],HACD3
Milk08G0727.1,XNS08G0727.1,3-hydroxyacyl-CoA dehydratase 4 [Source:HGNC Symbol;Acc:HGNC:20920],HACD4
Milk11G0300.1,XNS11G0300.1,"3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]",HAAO
Milk01G0374.1,XNS01G0374.1,3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027],BDH1
Milk06G0120.1,XNS06G0120.1,3-hydroxybutyrate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:32389],BDH2
Milk04G0408.1,XNS04G0408.1,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907],HIBADH(1of3)
Milk04G0409.1,XNS04G0409.1,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907],HIBADH(2of3)
Milk05G0855.1,XNS05G0855.1,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907],HIBADH(3of3)
Milk02G0054.1,XNS02G0054.1,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908],HIBCH
Milk23G0847.1,XNS23G0847.1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 [Source:HGNC Symbol;Acc:HGNC:21359],HMGCLL1(1of2)
Milk23G0848.1,XNS23G0848.1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 [Source:HGNC Symbol;Acc:HGNC:21359],HMGCLL1(2of2)
Milk24G0420.1,XNS24G0420.1,3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021],KDSR(1of3)
Milk24G0421.1,XNS24G0421.1,3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021],KDSR(2of3)
Milk24G0422.1,XNS24G0422.1,3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:HGNC:4021],KDSR(3of3)
Milk0G0568.1,XNS0G0568.1,3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527],OXCT1(1of2)
Milk20G0231.1,XNS20G0231.1,3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527],OXCT1(2of2)
Milk03G0306.1,XNS03G0306.1,3-oxoacid CoA-transferase 2 [Source:HGNC Symbol;Acc:HGNC:18606],OXCT2(1of2)
Milk03G0321.1,XNS03G0321.1,3-oxoacid CoA-transferase 2 [Source:HGNC Symbol;Acc:HGNC:18606],OXCT2(2of2)
Milk27G0300.1,XNS27G0300.1,"3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]",OXSM
Milk25G0802.1,XNS25G0802.1,3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816],PDPK1(1of3)
Milk25G0804.1,XNS25G0804.1,3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816],PDPK1(2of3)
Milk25G0805.1,XNS25G0805.1,3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816],PDPK1(3of3)
Milk06G0103.1,XNS06G0103.1,3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:8603],PAPSS1
Milk26G0540.1,XNS26G0540.1,3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604],PAPSS2
Milk16G0184.1,XNS16G0184.1,"3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]",BPNT1
Milk51G0001.1,XNS51G0001.1,"3'(2'), 5'-bisphosphate nucleotidase 2 [Source:HGNC Symbol;Acc:HGNC:26019]",BPNT2
Milk25G0700.1,XNS25G0700.1,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23],ABAT
Milk26G0423.1,XNS26G0423.1,4-hydroxy-2-oxoglutarate aldolase 1 [Source:HGNC Symbol;Acc:HGNC:25155],HOGA1
Milk17G0317.1,XNS17G0317.1,4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147],HPD
Milk03G0447.1,XNS03G0447.1,4-hydroxyphenylpyruvate dioxygenase like [Source:HGNC Symbol;Acc:HGNC:28242],HPDL
Milk02G0599.1,XNS02G0599.1,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794],ATIC
Milk22G0021.1,XNS22G0021.1,5-azacytidine induced 2 [Source:HGNC Symbol;Acc:HGNC:24002],AZI2
Milk01G0410.1,XNS01G0410.1,"5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]",HMCES(1of4)
Milk22G0730.1,XNS22G0730.1,"5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]",HMCES(2of4)
Milk22G0731.1,XNS22G0731.1,"5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]",HMCES(3of4)
Milk22G0732.1,XNS22G0732.1,"5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]",HMCES(4of4)
Milk20G0145.1,XNS20G0145.1,5-hydroxytryptamine receptor 1A [Source:HGNC Symbol;Acc:HGNC:5286],HTR1A(1of2)
Milk20G0146.1,XNS20G0146.1,5-hydroxytryptamine receptor 1A [Source:HGNC Symbol;Acc:HGNC:5286],HTR1A(2of2)
Milk09G0018.1,XNS09G0018.1,5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287],HTR1B(1of3)
Milk09G0019.1,XNS09G0019.1,5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287],HTR1B(2of3)
Milk09G0020.1,XNS09G0020.1,5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287],HTR1B(3of3)
